Company,Category,Address,Phone,URL
swm battery company,Battery store,,"
+94 74 049 8479",https://www.google.com/maps/place/swm+battery+company/data=!4m7!3m6!1s0x6c7c03b7ea0dd389:0x6752f3ac899f250a!8m2!3d6.3150414!4d80.8596324!16s%2Fg%2F11vc3rdpcj!19sChIJidMN6rcDfGwRCiWfiazzUmc?authuser=0&hl=en&rclk=1
New ishara battery works,Battery store,"
42C5+HRX Maha Viduhala, Ambalantota, Sri Lanka","
+94 71 042 5595",https://www.google.com/maps/place/New+ishara+battery+works/data=!4m7!3m6!1s0x3ae6bbbe056bb705:0x7acc2c328065d813!8m2!3d6.121486!4d81.0096072!16s%2Fg%2F11rj3trfd0!19sChIJBbdrBb675joRE9hlgDIszHo?authuser=0&hl=en&rclk=1
Senior Tyre & Battery Trading Company (pvt) Ltd,Tire repair shop,"
8262+FXQ, Colombo - Galle - Hambantota - Wellawaya Rd, Sooriyawewa, Sri Lanka",,https://www.google.com/maps/place/Senior+Tyre+%26+Battery+Trading+Company+%28pvt%29+Ltd/data=!4m7!3m6!1s0x3ae6a735407a8a91:0x627c5e73dad69a1c!8m2!3d6.3112133!4d81.0024923!16s%2Fg%2F11pvclt4fg!19sChIJkYp6QDWn5joRHJrW2nNefGI?authuser=0&hl=en&rclk=1
Lakshan tyre shop,Tire shop,"
Udamalala Mv Stop, Hambantota, Sri Lanka",,https://www.google.com/maps/place/Lakshan+tyre+shop/data=!4m7!3m6!1s0x3ae6994bae7f3eb7:0xe80f01d4748336e7!8m2!3d6.1692178!4d81.1667647!16s%2Fg%2F11ns54qyhp!19sChIJtz5_rkuZ5joR5zaDdNQBD-g?authuser=0&hl=en&rclk=1
Leoch Lanka (pvt) LTD,Battery manufacturer,"
3WR8+J34, Sri Lanka","
+94 472 225 008",https://www.google.com/maps/place/Leoch+Lanka+%28pvt%29+LTD/data=!4m7!3m6!1s0x3ae6b170d56587d9:0x6844785daa77a0ae!8m2!3d6.0915177!4d80.9152059!16s%2Fg%2F11gyh2gy1l!19sChIJ2Ydl1XCx5joRrqB3ql14RGg?authuser=0&hl=en&rclk=1
Namal Battery Works& NB Auto Electrical,Auto electrical service,"
Tissamaharama Rd, yakadapalama, Sri Lanka","
+94 71 757 5705",https://www.google.com/maps/place/Namal+Battery+Works%26+NB+Auto+Electrical/data=!4m7!3m6!1s0x3ae69d2ffd4c16df:0xc5405824daeb439f!8m2!3d6.2740386!4d81.2651074!16s%2Fg%2F11h3k7dg86!19sChIJ3xZM_S-d5joRn0Pr2iRYQMU?authuser=0&hl=en&rclk=1
Hybrid Battary Care,Car battery store,"
3RPG+8X8, Unnamed Road, Netolpitiya, Sri Lanka","
+94 76 829 6958",https://www.google.com/maps/place/Hybrid+Battary+Care/data=!4m7!3m6!1s0x3ae6b33d37e85d7d:0x7b6681087f08abd1!8m2!3d6.085784!4d80.827462!16s%2Fg%2F11lc77bbg7!19sChIJfV3oNz2z5joR0asIfwiBZns?authuser=0&hl=en&rclk=1
Prime motors,Motorcycle repair shop,"
Ambalantota, Sri Lanka","
+94 71 576 6142",https://www.google.com/maps/place/Prime+motors/data=!4m7!3m6!1s0x3ae6bbe2eea83c65:0xfc65b89e945c6bfb!8m2!3d6.1226145!4d81.0341156!16s%2Fg%2F11v0z2mjy3!19sChIJZTyo7uK75joR-2tclJ64Zfw?authuser=0&hl=en&rclk=1
Southern Tyre House,Tire shop,"
No.43, Dodol purawaraya, Siribopura, Sri Lanka","
+94 77 752 9862",https://www.google.com/maps/place/Southern+Tyre+House/data=!4m7!3m6!1s0x3ae6bdcc684bf9a7:0x57fdc4b89561dde6!8m2!3d6.1427999!4d81.1212321!16s%2Fg%2F11j1371gsw!19sChIJp_lLaMy95joR5t1hlbjE_Vc?authuser=0&hl=en&rclk=1
Singing Row Hybrid Care,Auto repair shop,"
Jinarathana Ln, Tissamaharama, Sri Lanka","
+94 475 637 980",https://www.google.com/maps/place/Singing+Row+Hybrid+Care/data=!4m7!3m6!1s0x3ae69c37fb1913c1:0xc224d1ae733ec523!8m2!3d6.2821068!4d81.2734198!16s%2Fg%2F11gfgdhj51!19sChIJwRMZ-zec5joRI8U-c67RJMI?authuser=0&hl=en&rclk=1
